ObsTime,StnPres,StnPresMax,StnPresMin,T Max,T Min,Temperature,RHMin,WS,WD,WSGust,WDGust,Precp,RH
1,1007,1010.8,1001.5,25.6,18.9,20.9,77,1.4,19,8.2,27,50.5,91
2,1010.9,1012.9,1008.6,21.7,18.1,19.8,68,2,73,9.3,360,6.5,82
3,1012.2,1013.9,1010.6,24.9,18.6,21.7,42,2.4,54,11,90,1.5,65
4,1010.9,1012.5,1009.2,24.3,21.4,22.9,58,1.9,75,9.3,85,0,64
5,1008,1010.2,1004.8,28.5,22.4,24.8,47,2.1,77,8.8,95,0,60
6,1008.3,1010.1,1006.1,22.8,18.8,21,63,1.9,81,8.2,85,13,82
7,1009.5,1011.1,1007.5,20.2,17.9,19.1,72,2,75,10.4,76,6,85
8,1006.7,1008.5,1004.6,23.1,19.1,21,80,1,51,7.7,20,1,90
9,1006.1,1007.6,1004.5,22.6,19.8,20.8,92,0.5,76,5.5,86,14.5,98
10,1007.2,1008.6,1005.4,24.7,19.4,22,70,1.9,79,8.8,95,0,84
11,1008.3,1009.6,1006.8,26.9,21,23.6,70,1.9,76,9.3,85,0,84
12,1007.4,1009.6,1006.8,26.9,21,26.3,70,1.5,54,9.3,85,0,80
13,1006.3,1008,1004,32,24.4,27.5,44,0.7,17,6.6,237,0,74
14,1006.1,1007.8,1004.3,29.2,24.4,26.3,73,0.9,306,6.6,321,0,83
15,1006.1,1008,1003.7,29.3,24.3,26.7,72,0.6,72,4.9,15,0,83
16,1002.9,1005.6,1000.3,31.2,25.6,28.3,60,1.3,256,12.1,235,0,78
17,1001.4,1003.9,999.1,28.4,23.8,26.3,77,0.5,51,8.2,266,77,92
18,1001.5,1003.5,999.8,30,25.2,27.8,75,1.2,262,9.9,267,4,86
19,1003,1004.8,1000.4,33.1,26,29.5,56,0.6,16,8.2,256,0,72
20,1005.6,1009.5,1001.5,28.1,22,24.2,73,0.8,29,7.1,332,110,89
21,1007.9,1009.5,1006.3,25.8,21.7,23.1,33,2.3,76,10.4,81,0,55
22,1006.7,1008,1005.1,26.2,21.2,23.6,50,0.8,74,5.5,94,0,59
23,1008.3,1010.2,1006.1,27.6,21,23.6,65,1.3,63,8.2,46,3.5,81
24,1008.4,1010.2,1006.4,30.6,23.1,26.8,53,2,71,7.7,92,0,67
25,1007.4,1009,1005.2,31.1,24.4,27.7,46,1.2,76,7.7,64,0,56
26,1006.3,1007.8,1004.6,30.8,24.4,27.6,54,0.9,78,6.6,345,0,64
27,1005.7,1006.9,1003.4,30.7,25.1,27.6,63,0.5,73,6.6,70,0,75
28,1007.3,1010.3,1004.5,27.2,20.7,23.9,82,0.5,70,5.5,94,98.5,95
29,1008.6,1010,1006.4,24.2,20.5,22.6,57,1.8,75,8.2,82,0,67
30,1006.5,1008.5,1004,30.1,21.1,25.9,56,0.9,78,5.5,77,0,73
31,1005.4,1006.9,1002.9,31.6,24.1,27.5,58,1.1,78,7.1,344,0,77
