ObsTime,StnPres,StnPresMax,StnPresMin,T Max,T Min,WS,RHMin,RH,WD,WSGust,WDGust,Precp,Temperature
1,1007,1010.8,1001.5,25.6,18.9,1.4,77,91,19,8.2,27,50.5,20.9
2,1010.9,1012.9,1008.6,21.7,18.1,2,68,82,73,9.3,360,6.5,19.8
3,1012.2,1013.9,1010.6,24.9,18.6,2.4,42,65,54,11,90,1.5,21.7
4,1010.9,1012.5,1009.2,24.3,21.4,1.9,58,64,75,9.3,85,0,22.9
5,1008,1010.2,1004.8,28.5,22.4,2.1,47,60,77,8.8,95,0,24.8
6,1008.3,1010.1,1006.1,22.8,18.8,1.9,63,82,81,8.2,85,13,21
7,1009.5,1011.1,1007.5,20.2,17.9,2,72,85,75,10.4,76,6,19.1
8,1006.7,1008.5,1004.6,23.1,19.1,1,80,90,51,7.7,20,1,21
9,1006.1,1007.6,1004.5,22.6,19.8,0.5,92,98,76,5.5,86,14.5,20.8
10,1007.2,1008.6,1005.4,24.7,19.4,1.9,70,84,79,8.8,95,0,22
11,1008.3,1009.6,1006.8,26.9,21,1.9,70,84,76,9.3,85,0,23.6
12,1007.4,1009.6,1006.8,26.9,21,1.5,70,80,54,9.3,85,0,26.3
13,1006.3,1008,1004,32,24.4,0.7,44,74,17,6.6,237,0,27.5
14,1006.1,1007.8,1004.3,29.2,24.4,0.9,73,83,306,6.6,321,0,26.3
15,1006.1,1008,1003.7,29.3,24.3,0.6,72,83,72,4.9,15,0,26.7
16,1002.9,1005.6,1000.3,31.2,25.6,1.3,60,78,256,12.1,235,0,28.3
17,1001.4,1003.9,999.1,28.4,23.8,0.5,77,92,51,8.2,266,77,26.3
18,1001.5,1003.5,999.8,30,25.2,1.2,75,86,262,9.9,267,4,27.8
19,1003,1004.8,1000.4,33.1,26,0.6,56,72,16,8.2,256,0,29.5
20,1005.6,1009.5,1001.5,28.1,22,0.8,73,89,29,7.1,332,110,24.2
21,1007.9,1009.5,1006.3,25.8,21.7,2.3,33,55,76,10.4,81,0,23.1
22,1006.7,1008,1005.1,26.2,21.2,0.8,50,59,74,5.5,94,0,23.6
23,1008.3,1010.2,1006.1,27.6,21,1.3,65,81,63,8.2,46,3.5,23.6
24,1008.4,1010.2,1006.4,30.6,23.1,2,53,67,71,7.7,92,0,26.8
25,1007.4,1009,1005.2,31.1,24.4,1.2,46,56,76,7.7,64,0,27.7
26,1006.3,1007.8,1004.6,30.8,24.4,0.9,54,64,78,6.6,345,0,27.6
27,1005.7,1006.9,1003.4,30.7,25.1,0.5,63,75,73,6.6,70,0,27.6
28,1007.3,1010.3,1004.5,27.2,20.7,0.5,82,95,70,5.5,94,98.5,23.9
29,1008.6,1010,1006.4,24.2,20.5,1.8,57,67,75,8.2,82,0,22.6
30,1006.5,1008.5,1004,30.1,21.1,0.9,56,73,78,5.5,77,0,25.9
31,1005.4,1006.9,1002.9,31.6,24.1,1.1,58,77,78,7.1,344,0,27.5
